"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012041600","5.1","1","0"
"TT_TU_MN009","1443","202012041700","4.3","1","0"
"TT_TU_MN009","1443","202012041800","4","1","0"
"TT_TU_MN009","1443","202012041900","3.7","1","0"
"TT_TU_MN009","1443","202012042000","3.4","1","0"
"TT_TU_MN009","1443","202012042100","3.2","1","0"
"TT_TU_MN009","1443","202012042200","3.4","1","0"
"TT_TU_MN009","1443","202012042300","3.2","1","0"
"TT_TU_MN009","1443","202012050000","2.9","1","0"
"TT_TU_MN009","1443","202012050100","2.2","1","0"
"TT_TU_MN009","1443","202012050200","2","1","0"
"TT_TU_MN009","1443","202012050300","2.8","1","0"
"TT_TU_MN009","1443","202012050400","3.3","1","0"
"TT_TU_MN009","1443","202012050500","3.9","1","0"
"TT_TU_MN009","1443","202012050600","4","1","0"
"TT_TU_MN009","1443","202012050700","3.2","1","0"
"TT_TU_MN009","1443","202012050800","3","1","0"
"TT_TU_MN009","1443","202012050900","2.8","1","0"
"TT_TU_MN009","1443","202012051000","4.4","1","0"
"TT_TU_MN009","1443","202012051100","4.4","1","0"
"TT_TU_MN009","1443","202012051200","4.8","1","0"
"TT_TU_MN009","1443","202012051300","4.9","1","0"
"TT_TU_MN009","1443","202012051400","4.4","1","0"
"TT_TU_MN009","1443","202012051500","3.6","1","0"
"TT_TU_MN009","1443","202012051600","3.5","1","0"
"TT_TU_MN009","1443","202012051700","3.7","1","0"
"TT_TU_MN009","1443","202012051800","3.6","1","0"
"TT_TU_MN009","1443","202012051900","3.6","1","0"
"TT_TU_MN009","1443","202012052000","3.4","1","0"
"TT_TU_MN009","1443","202012052100","3.4","1","0"
"TT_TU_MN009","1443","202012052200","3.4","1","0"
"TT_TU_MN009","1443","202012052300","3.2","1","0"
"TT_TU_MN009","1443","202012060000","3.3","1","0"
"TT_TU_MN009","1443","202012060100","3.2","1","0"
"TT_TU_MN009","1443","202012060200","3.2","1","0"
"TT_TU_MN009","1443","202012060300","3.3","1","0"
"TT_TU_MN009","1443","202012060400","3.2","1","0"
"TT_TU_MN009","1443","202012060500","3.3","1","0"
"TT_TU_MN009","1443","202012060600","3.2","1","0"
"TT_TU_MN009","1443","202012060700","3.3","1","0"
"TT_TU_MN009","1443","202012060800","3.4","1","0"
"TT_TU_MN009","1443","202012060900","3.7","1","0"
"TT_TU_MN009","1443","202012061000","4.1","1","0"
"TT_TU_MN009","1443","202012061100","4.4","1","0"
"TT_TU_MN009","1443","202012061200","4.6","1","0"
"TT_TU_MN009","1443","202012061300","4.7","1","0"
"TT_TU_MN009","1443","202012061400","4.7","1","0"
"TT_TU_MN009","1443","202012061500","4.7","1","0"
"TT_TU_MN009","1443","202012061600","4.8","1","0"
"TT_TU_MN009","1443","202012061700","4.1","1","0"
"TT_TU_MN009","1443","202012061800","4.4","1","0"
"TT_TU_MN009","1443","202012061900","4","1","0"
"TT_TU_MN009","1443","202012062000","4","1","0"
"TT_TU_MN009","1443","202012062100","4","1","0"
"TT_TU_MN009","1443","202012062200","3.5","1","0"
"TT_TU_MN009","1443","202012062300","3.3","1","0"
"TT_TU_MN009","1443","202012070000","3.7","1","0"
"TT_TU_MN009","1443","202012070100","3.4","1","0"
"TT_TU_MN009","1443","202012070200","3.7","1","0"
"TT_TU_MN009","1443","202012070300","3.4","1","0"
"TT_TU_MN009","1443","202012070400","3.8","1","0"
"TT_TU_MN009","1443","202012070500","3.9","1","0"
"TT_TU_MN009","1443","202012070600","3.8","1","0"
"TT_TU_MN009","1443","202012070700","3.8","1","0"
"TT_TU_MN009","1443","202012070800","3.8","1","0"
"TT_TU_MN009","1443","202012070900","4.4","1","0"
