hobo_id,data_available,region,latitude,longitude,exposition,altitude,influence,description,t_avg,t_d,t_n,t_nd,t_amp,t_6h,l_avg,l_max,f_na,ref_id,ref_r2
10088310,yes,Freiburg,48.0056,7.8489,N,10,medium,balcony, 2nd floor, 1m below upper balcony, 50 cm away from wall (window), may influenced by light from the room,5.258,5.656,4.859,0.797,4.043,6.017,455.6,12:40:00,0.028,dwd_urban,0.981
10347310,yes,Freiburg,47.9731,7.8298,W,10,medium,balcony third floor, 1 m distance to the building, rain protection trough bottle,4.538,5.354,3.721,1.633,6.401,9.4,3808.8,11:50:00,0.038,wbi,0.932
10347318,yes,Freiburg,47.9849,7.836,W,20,high,balcony, shelterd, not exposed to rain, max. 2 hours of direct sunlight, artificial light, heat from building,6.22,6.68,5.76,0.92,4.35,7.97,3303,14:30:00,0.09,wbi,0.957
10347320,yes,Freiburg,47.98579,7.8161,W,1.5,low,terrace, ground floor, on wall, niche, next to door/window,5.35,5.86,4.84,1.07,4.62,6.066,855,13:20:00,0.065,wbi,0.947
10347325,yes,Freiburg,47.9891,7.8669,E,4,medium,balcony towards backyard, 1st floor, 1m distance to wall and floor,5.085,5.576,4.594,0.982,4.318,7.44,1729.9,11:00:00,0.031,wbi,0.95
10347342,yes,Freiburg,47.986711,7.838723,W,4,low,under railings on balcony (1. floor) towards backyard,6.22,6.71,5.73,0.98,5.11,5.91,1357.1,11:20:00,0,uni_meteo,0.955
10347367,yes,Freiburg,47.9806,7.8464,N,1,medium,under wooden construction in garden,4.112,4.659,3.565,1.094,4.548,7.413,814.7,11:40:00,0.034,wbi,0.948
10347371,yes,Freiburg,47.97872,7.87306,N,1.2,medium,slope in the woods, near surrounding =~ 4m high newgrowth, 7.5cm off the trunk,3.456,3.783,3.128,0.655,3.713,6.224,842.1,12:00:00,0.095,uni_meteo,0.923
10347377,yes,Freiburg,48.0095,7.8551,E,4,medium,1. floor balcony, free hanging (>15 cm away from wall), all day in shadow,5.558,5.986,5.129,0.857,3.942,6.263,534.1,12:30:00,0.208,wbi,0.954
10347394,yes,Freiburg,47.9846,7.836,W,6,low,balcony, 1st floor, hanging free from ceiling, sheltered from rain/snow or direct sunlight,5.563,6.08,4.981,1.099,4.582,8.466,2864.5,15:20:00,0.104,dwd_urban,0.913
10350000,yes,Freiburg,47.9894,7.8217,E,5,high,balcony to the backyard, 1. floor, 30 cm next to a wall with direkt sunlight, sheltered from rain,5.67,6.206,5.134,1.072,5.107,7.952,8131,10:50:00,0.292,wbi,0.948
10350007,yes,Freiburg,48.008,7.8624,E,8,low,balcony, 2.floor, 20 cm below roof, 40 cm from the wall, bathroom and kitchen window nearby, direkt sun at most 30 min in the morning, blinking light (Sensor?) in the direktion of the windows,5.306,5.99,4.623,1.367,5.707,9.461,3521.2,09:50:00,0.063,dwd_urban,0.952
10350017,yes,Freiburg,47.9964,7.8342,W,10,low,balcony, third floor, two cm under flower box,4.957,5.379,4.535,0.844,4.162,6.514,2511.5,12:30:00,0.04,wbi,0.979
10350028,yes,Freiburg,47.9769,7.8209,N,15,medium,Rooftop hanging under photovoltaic panels, radiation shield: ceramic pot.,4.254,4.886,3.622,1.264,5.381,8.046,130.1,12:00:00,0.04,wbi,0.973
10350043,yes,Freiburg,47.9914,7.8449,S,2,low,Shack in garden behind the house,4.821,5.182,4.46,0.722,3.71,6.674,292.4,12:00:00,0.115,uni_meteo,0.971
10350049,yes,Freiburg,47.9997,7.8129,N,2.5,low,garden behind garage,4.3,4.885,3.714,1.17,4.929,6.656,1225.3,12:00:00,0.044,wbi,0.948
10350068,yes,Freiburg,47.9987,7.8507,S,1.5,medium,balcony, 1 floor, 50cm above ground, no direct sunlight, underneath a gardentable,5.895,6.154,5.709,0.445,2.895,4.195,190.7,12:00:00,0.097,uni_meteo,0.951
10350072,yes,Kirchzarten,47.95601,7.94899,N,2,medium,hanging under balcony, first floor, sheltered from rain; vegetation around and river (Brugga) 1m next to it,3.091,3.48,2.7,0.778,4.666,7.339,822.7,13:10:00,0.149,uni_meteo,0.937
10350075,yes,Freiburg,47.9929,7.845,N,3,low,hanging outside at a window grille above a grassy area (1st floor); free-hanging; protected environment,5.471,5.998,4.944,1.054,4.607,7.599,3277.7,13:30:00,0.127,wbi,0.968
10350090,yes,Freiburg,47.9957,7.8342,E,3,high,balcony; partly shaded by tree; possibly influenced by heat radiating from house; protected from rain,7.574,7.697,7.45,0.246,6.851,7.264,540.8,12:30:00,0.208,wbi,0.961
10350101,yes,Freiburg,47.99799,7.83778,N,12,medium,sensor hanging from balcony railing under roof,5.403,5.89,4.92,0.97,4.401,6.488,1356,12:40:00,0.025,wbi,0.969
10760710,yes,Freiburg,48.0056,7.8277,E,2.5,medium,balcony (ground floor), sensor hanging 50 cm from ceiling,5.68,6.068,5.292,0.776,4.123,6.62,1277.6,12:40:00,0.042,dwd_urban,0.935
10760810,yes,Freiburg,47.9996,7.8371,E,4,low,balcony, 1. floor, sensor hanging 30cm from bottom of balcony above, shelterd from rain and direct sunlight,6.804,7.103,6.504,0.599,3.518,5.107,921.4,09:30:00,0.2,dwd_urban,0.907
10760820,yes,Freiburg,47.991913,7.8155853,W,10,medium,balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight,5.198,5.839,4.557,1.282,5.172,7.046,1070.9,13:20:00,0.105,wbi,0.963
10760823,yes,Freiburg,48.0021,7.8454,N,4,low,out side the window, next to the wall, may be some rain-influence,7.655,7.903,7.407,0.496,3.631,6.595,1251.8,12:00:00,0.044,dwd_urban,0.946
10801132,yes,Freiburg,47.98486,7.83605,S,6,medium,balcony on second floor, in shade next to wall,6.025,6.536,5.514,1.022,4.719,8.578,971.6,13:20:00,0.183,wbi,0.936
10801134,yes,Freiburg,47.9891,7.8185,S,6,medium,balcony, 1. floor, direct sunlight until midday,5.416,6.085,4.746,1.339,5.559,7.756,4256.3,12:20:00,0.121,wbi,0.963
